OrderID,Product,Category,Price,Quantity,Total,Date,Region
1,Monitor,Accessories,25000,3,75000,6/21/2023,East
2,Charger,Accessories,15000,4,60000,8/8/2023,North
3,Keyboard,Electronics,25000,3,75000,6/7/2023,West
4,Monitor,Accessories,20000,2,40000,2/15/2023,East
5,Headphones,Electronics,25000,3,75000,1/6/2023,East
6,Keyboard,Accessories,15000,3,45000,4/9/2023,West
7,Keyboard,Accessories,15000,4,60000,8/21/2023,South
8,Monitor,Electronics,,4,0,2/6/2023,East
9,Phone,Accessories,20000,1,20000,10/7/2023,South
10,Headphones,Electronics,10000,1,10000,12/15/2023,North
11,Monitor,Accessories,10000,2,20000,10/29/2023,South
12,Headphones,Electronics,25000,1,25000,6/30/2023,North
13,Headphones,Electronics,,3,0,4/5/2023,South
14,Keyboard,Accessories,5000,4,20000,4/9/2023,East
15,Charger,Accessories,25000,1,25000,7/7/2023,East
16,Headphones,Electronics,,1,0,4/26/2023,North
17,Mouse,Accessories,20000,2,40000,7/10/2023,West
18,Keyboard,Accessories,20000,,0,9/10/2023,North
19,Phone,Accessories,20000,2,40000,6/10/2023,North
20,Charger,Electronics,20000,3,60000,9/13/2023,South
21,Mouse,Electronics,20000,4,80000,11/19/2023,South
22,Mouse,Electronics,,2,0,5/8/2023,North
23,Phone,Electronics,,1,0,1/18/2023,East
24,Charger,Electronics,15000,4,60000,10/8/2023,South
25,Keyboard,Electronics,10000,4,40000,8/11/2023,West
26,Laptop,Electronics,20000,1,20000,2/23/2023,South
27,Charger,Electronics,5000,2,10000,2/27/2023,South
28,Phone,Electronics,,1,0,11/19/2023,West
29,Mouse,Accessories,5000,,0,12/26/2023,North
30,Keyboard,Electronics,5000,4,20000,6/23/2023,West
31,Charger,Accessories,5000,5,25000,10/7/2023,North
32,Laptop,Accessories,15000,5,75000,4/24/2023,North
33,Laptop,Accessories,,3,0,10/15/2023,North
34,Headphones,Electronics,5000,1,5000,12/8/2023,West
35,Headphones,Electronics,20000,1,20000,5/31/2023,North
36,Monitor,Electronics,25000,3,75000,5/7/2023,East
37,Phone,Electronics,5000,3,15000,6/4/2023,West
38,Charger,Accessories,15000,3,45000,9/30/2023,East
39,Charger,Electronics,,4,0,4/14/2023,North
40,Monitor,Electronics,15000,,0,10/26/2023,South
41,Mouse,Electronics,5000,1,5000,9/3/2023,North
42,Mouse,Electronics,,4,0,6/25/2023,East
43,Monitor,Electronics,25000,3,75000,2/8/2023,East
44,Mouse,Accessories,5000,1,5000,6/19/2023,West
45,Headphones,Electronics,15000,4,60000,9/4/2023,South
46,Charger,Accessories,10000,,0,1/26/2023,West
47,Monitor,Electronics,20000,4,80000,12/21/2023,East
48,Charger,Accessories,15000,,0,11/2/2023,North
49,Laptop,Electronics,,3,0,1/13/2023,South
50,Headphones,Electronics,5000,,0,11/12/2023,North
51,Keyboard,Accessories,20000,1,20000,11/9/2023,North
52,Headphones,Accessories,5000,3,15000,2/5/2023,South
53,Monitor,Accessories,,1,0,6/22/2023,West
54,Keyboard,Electronics,5000,5,25000,1/20/2023,North
55,Laptop,Accessories,10000,2,20000,11/17/2023,East
56,Monitor,Electronics,20000,,0,9/21/2023,North
57,Phone,Electronics,20000,2,40000,5/22/2023,South
58,Charger,Accessories,,2,0,5/23/2023,South
59,Laptop,Accessories,10000,,0,4/2/2023,South
60,Charger,Electronics,15000,3,45000,12/20/2023,West
61,Mouse,Electronics,5000,5,25000,11/18/2023,North
62,Phone,Accessories,25000,1,25000,10/15/2023,West
63,Phone,Accessories,5000,4,20000,8/3/2023,West
64,Laptop,Accessories,5000,1,5000,12/8/2023,South
65,Phone,Electronics,15000,4,60000,2/20/2023,South
66,Keyboard,Electronics,5000,1,5000,6/2/2023,West
